,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,cname
8,0.93699998,AUS,WesternDem,38611.949,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789,Australia
103,0.47299999,MWI,SubSaharian,938.3499800000001,17.60400009155273,8.100000381469728,3.185531854629517,4.842539787292481,32.94229125976563,Malawi
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195,Timor-Leste
163,0.42100000000000004,SSD,SubSaharian,,,6.9000000953674325,,1.7129700183868408,,South Sudan
161,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063,Zimbabwe
49,0.72399998,DMA,Caribbean,12613.72,,,,,86.32093048095703,Dominica
1,0.76200002,ALB,EastEurope,8516.7002,,7.0999999046325675,4.111338615417481,3.539439916610718,85.27821350097656,Albania
158,0.88800001,SVN,EastEurope,24456.561,2.0610001087188716,2.799999952316284,4.073011398315431,5.4865899085998535,94.94590759277344,Slovenia
44,0.773,CUB,LatAm,5899.9399,,5.699999809265138,,,87.48567199707031,Cuba
62,0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594,Georgia
19,0.69800001,BWA,SubSaharian,12770.73,,5.099999904632568,3.523580312728882,,,Botswana
191,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984,Samoa
190,0.76899999,VEN,LatAm,10513.96,,5.199999809265137,2.640229225158691,,74.78971099853516,Venezuela
85,0.90200001,JPN,EastAsia,36123.77,127.12000274658199,2.5999999046325684,4.430102348327637,3.591840028762817,99.04267120361328,Japan
115,0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,7.5999999046325675,3.170891284942627,,56.14244842529297,Morocco
48,0.92299998,DNK,WesternDem,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531,Denmark
189,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,6.300000190734862,,,92.20738220214844,Uzbekistan
114,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,3.5999999046325684,4.25305986404419,,,Montenegro
32,0.34700000000000003,CAF,SubSaharian,690.03998,,6.9000000953674325,,1.22393000125885,13.60074996948242,Central African Republic
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,7.800000190734862,4.644126892089844,1.9256600141525269,85.42613983154297,Sri Lanka
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,6.300000190734862,2.6716678142547607,2.9301199913024902,23.10231971740723,Mauritania
50,0.71799999,DOM,LatAm,10376.63,,7.5999999046325675,2.636394500732422,,65.45761108398439,Dominican Republic
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,1.8999999761581419,3.535049200057983,4.960380077362061,94.32984161376952,Oman
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,70.16300201416016,Palau
76,0.61500001,IND,SouthAsia,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297,India
144,0.493,RWA,SubSaharian,1440.39,10.19999980926514,7.5,4.0375962257385245,3.7974600791931152,27.23918914794922,Rwanda
22,0.514,SLB,Pacific,2113.0601,0.5619999766349792,6.300000190734862,,,,Solomon Islands
186,0.91799998,USA,WesternDem,47769.699,318.7890014648438,1.5,4.5645713806152335,5.380780220031738,90.46228790283205,United States
150,0.84500003,SAU,NorthAfrica,20872.711,30.770000457763672,3.7000000476837163,4.109292984008788,,87.83480834960938,Saudi Arabia
